sex,age,studytime,failures,famrel,goout,Dalc,Walc,health,absences
F,18,2,0,4,4,1,1,3,6
F,17,2,0,5,3,1,1,3,4
F,15,2,3,4,2,2,3,3,10
F,15,3,0,3,2,1,1,5,2
F,16,2,0,4,2,1,2,5,4
M,16,2,0,5,2,1,2,5,10
M,16,2,0,4,4,1,1,3,0
F,17,2,0,4,4,1,1,1,6
M,15,2,0,4,2,1,1,1,0
M,15,2,0,5,1,1,1,5,0
F,15,2,0,3,3,1,2,2,0
F,15,3,0,5,2,1,1,4,4
M,15,1,0,4,3,1,3,5,2
M,15,2,0,5,3,1,2,3,2
M,15,3,0,4,2,1,1,3,0
F,16,1,0,4,4,1,2,2,4
F,16,3,0,3,3,1,2,2,6
F,16,2,0,5,2,1,1,4,4
M,17,1,3,5,5,2,4,5,16
M,16,1,0,3,3,1,3,5,4
M,15,2,0,4,1,1,1,1,0
M,15,1,0,5,2,1,1,5,0
M,16,2,0,4,1,1,3,5,2
M,16,2,0,5,4,2,4,5,0
F,15,3,0,4,2,1,1,5,2
F,16,1,2,1,2,1,3,5,14
M,15,1,0,4,2,1,2,5,2
M,15,1,0,2,4,2,4,1,4
M,16,2,0,5,3,1,1,5,4
M,16,2,0,4,5,5,5,5,16
M,15,2,0,5,2,3,4,5,0
M,15,2,0,4,1,1,1,5,0
M,15,2,0,4,2,1,1,5,0
M,15,2,0,5,2,1,1,2,0
M,16,1,0,5,3,1,1,5,0
F,15,1,0,3,1,1,1,5,0
M,15,3,0,5,3,1,1,4,2
M,16,3,0,2,3,1,1,5,7
F,15,3,0,4,2,1,1,5,2
F,15,1,0,4,1,1,1,2,8
F,16,2,1,3,3,1,2,3,25
M,15,1,0,5,3,2,4,5,8
M,15,2,0,4,3,1,1,5,2
M,15,1,0,5,1,1,1,1,0
F,16,2,1,4,3,2,2,5,14
F,15,2,0,5,2,1,1,5,8
F,16,2,0,2,5,1,4,3,12
M,16,4,0,4,2,1,1,2,4
M,15,2,0,4,3,2,2,5,2
F,15,2,1,4,4,1,1,3,2
F,16,2,0,4,3,2,3,4,2
F,15,2,0,4,3,1,1,5,2
M,15,1,1,5,5,3,4,5,6
F,15,1,0,3,4,2,3,5,0
F,15,1,0,5,4,4,4,1,6
F,16,2,0,5,4,1,1,2,8
F,15,2,0,4,2,1,1,1,0
M,15,2,0,3,2,1,1,5,4
M,15,2,0,4,2,1,1,5,2
F,16,2,0,4,3,1,1,5,2
F,16,2,0,2,4,2,3,4,6
F,16,1,0,5,5,5,5,5,6
F,16,2,0,4,3,1,1,1,4
F,16,3,0,3,4,2,4,4,2
F,15,2,0,4,4,2,4,2,0
F,16,2,0,5,3,1,2,1,2
M,15,4,0,1,3,5,5,3,4
F,16,4,0,4,3,1,2,5,4
F,15,2,0,4,3,1,3,4,2
F,15,4,0,4,2,2,3,3,12
M,16,4,0,4,2,1,1,5,0
M,15,4,0,3,3,1,1,3,0
F,15,2,2,3,4,2,4,5,2
M,16,1,0,5,2,2,2,5,2
F,16,2,0,4,3,2,4,5,54
M,15,2,0,4,3,2,3,5,6
M,15,4,0,3,3,1,1,1,8
F,16,4,0,5,3,1,3,3,0
M,17,1,3,4,1,1,1,3,2
F,16,2,0,2,3,1,2,3,12
M,15,1,0,3,2,1,3,3,2
M,15,3,0,5,2,1,2,5,4
F,15,2,0,4,4,1,1,5,10
M,15,2,0,5,3,1,3,4,4
F,15,2,0,4,2,2,3,4,2
F,15,2,2,4,4,2,3,5,6
F,16,2,0,4,4,1,2,2,4
F,15,3,0,5,3,1,3,1,4
M,16,2,1,4,2,1,1,3,12
M,16,2,0,4,3,3,5,5,18
F,16,3,0,4,3,1,3,4,0
F,15,1,0,4,5,1,3,1,4
F,16,2,0,3,3,2,3,2,4
F,16,2,0,5,3,1,1,1,0
M,15,4,0,4,4,1,1,4,6
F,15,4,1,3,2,1,1,1,2
M,16,1,0,3,3,1,1,4,2
F,16,2,0,4,5,1,1,5,2
F,16,1,0,5,4,1,2,1,6
F,16,3,0,5,5,1,1,3,0
M,16,1,0,4,5,5,5,4,14
M,16,3,0,4,3,1,1,4,0
M,15,1,0,5,3,1,1,5,4
F,15,2,0,4,5,1,1,2,26
M,15,2,0,5,4,1,1,1,0
F,15,4,0,4,3,1,1,4,10
F,15,4,0,5,2,1,1,3,8
M,16,3,0,5,3,1,1,5,2
M,15,4,0,1,5,3,5,1,6
F,16,3,0,5,5,1,1,4,4
M,15,1,0,5,3,1,1,4,6
F,16,3,1,4,2,1,1,2,0
F,16,2,1,3,2,1,1,5,6
M,15,1,0,3,2,1,1,3,10
M,15,2,0,5,2,1,1,5,8
M,16,2,0,5,4,1,2,5,2
M,15,2,0,4,3,1,1,2,2
M,16,1,0,5,2,1,1,5,0
M,17,2,1,5,4,1,4,5,20
M,15,1,0,3,3,1,2,4,6
F,15,2,0,3,3,1,2,1,2
M,15,4,0,5,4,1,2,5,6
F,16,2,0,4,2,1,2,5,2
M,16,1,0,3,4,1,4,5,18
